agemo_mda,cod_any,cod_homicide,cod_MVA,cod_extother,cod_external,cod_internal,cod_sa,cod_sa_firearms,cod_sa_poisoning,cod_sa_poisoning_subst,cod_sa_poisoning_gas,cod_sa_drowning,cod_sa_other,pop
-48,1791,86,428,10,882,909,358,43,15,10,5,85,215,124022402.66666713
-47,1847,84,391,9,886,961,402,74,17,9,8,96,215,124022402.66666655
-46,1860,88,394,7,876,984,387,63,12,9,3,95,217,124022402.66666673
-45,1855,86,390,11,900,955,413,81,18,12,6,78,236,124022010.41666648
-44,1973,85,446,10,963,1010,422,82,24,12,12,78,238,124022010.41666691
-43,2016,101,440,10,1022,994,471,99,20,12,8,94,258,124022010.41666666
-42,1854,103,424,6,951,903,418,78,19,11,8,103,218,124128581.99999982
-41,2043,95,455,13,1054,989,491,85,28,18,10,98,280,124128582.00000015
-40,2046,120,469,7,1078,968,482,87,18,12,6,103,274,124128076.99999979
-39,1990,117,447,8,1065,925,493,96,23,12,11,94,280,124130805.74999996
-38,2040,113,451,13,1053,987,476,101,22,17,5,108,245,124130805.75000006
-37,2167,121,503,13,1126,1041,489,97,23,16,7,102,267,124136992.49999984
-36,2074,128,491,11,1086,988,456,83,26,16,10,90,257,124438534.58333325
-35,2276,134,514,11,1222,1054,563,130,26,15,11,97,310,124438534.58333318
-34,2163,141,514,8,1169,994,506,129,28,22,6,85,264,124438534.58333373
-33,2288,130,496,16,1205,1083,563,142,30,24,6,105,286,124435692.5833336
-32,2255,127,513,19,1190,1065,531,124,42,28,14,99,266,124435692.58333354
-31,2350,143,522,12,1297,1053,620,143,32,23,9,101,344,124435692.58333354
-30,2371,168,554,15,1332,1039,595,161,27,22,5,111,296,124515495.99999976
-29,2417,172,537,14,1347,1070,624,156,33,24,9,122,313,124515496.00000001
-28,2499,174,586,15,1428,1071,653,177,36,30,6,113,327,124511303.6666666
-27,2464,172,579,15,1393,1071,627,171,37,28,9,111,308,124510078.16666661
-26,2587,188,632,14,1500,1087,666,202,36,23,13,114,314,124510078.16666678
-25,2618,200,594,15,1507,1111,698,190,45,39,6,124,339,124513434.41666666
-24,2622,202,660,14,1526,1096,650,180,50,41,9,114,306,124681794.24999997
-23,2708,196,685,20,1582,1126,681,203,45,35,10,107,326,124681794.2499999
-22,2779,211,700,14,1655,1124,730,220,48,36,12,121,341,124681794.25000013
-21,2876,248,729,12,1769,1107,780,248,54,42,12,118,360,124678959.25000024
-20,2872,265,745,19,1805,1067,776,243,53,42,11,94,386,124678959.24999999
-19,3010,264,759,19,1815,1195,773,244,57,45,12,137,335,124678959.25
-18,3038,328,764,20,1905,1133,793,236,68,56,12,137,352,124809945.24999984
-17,3289,315,885,23,2097,1192,874,243,81,59,22,153,397,124809945.24999976
-16,3189,306,793,20,1998,1191,879,275,75,62,13,154,375,124813029.41666682
-15,3265,325,864,25,2053,1212,839,272,57,39,18,147,363,124829208.99999957
-14,3318,331,892,14,2115,1203,878,269,72,59,13,140,397,124829209.00000015
-13,3448,367,914,21,2195,1253,893,265,88,68,20,146,394,124829526.25000007
-12,3604,398,972,16,2377,1227,991,327,94,70,24,149,421,125379040.5833334
-11,3580,421,974,15,2394,1186,984,336,95,79,16,163,390,125379040.58333313
-10,3757,434,1028,24,2506,1251,1020,336,108,88,20,146,430,125379040.5833332
-9,3916,435,1117,25,2640,1276,1063,379,103,84,19,146,435,125376662.58333366
-8,3782,423,1114,31,2556,1226,988,347,107,87,20,137,397,125376662.58333322
-7,4020,490,1132,20,2721,1299,1079,342,122,97,25,180,435,125376662.58333327
-6,4108,487,1198,37,2782,1326,1060,371,98,80,18,162,429,125515134.25000027
-5,4298,559,1242,35,2978,1320,1142,409,110,90,20,164,459,125515134.24999984
-4,4364,581,1289,28,3056,1308,1158,416,129,107,22,163,450,125512537.58333328
-3,4359,606,1267,18,3082,1277,1191,422,124,100,24,182,463,125531965.66666682
-2,4492,599,1323,23,3182,1310,1237,435,136,105,31,159,507,125531965.6666666
-1,4576,593,1416,33,3275,1301,1233,450,126,97,29,171,486,125527300.66666664
0,4955,652,1646,29,3575,1380,1248,445,168,146,22,174,461,125824741.6666668
1,5300,655,1992,24,3985,1315,1314,469,178,144,34,136,531,125824741.66666667
